"Level","Item","Description","Qty","Packing DOKAR","Packing DOKNR","Label DOKAR","Label DOKNR","Draw ID","Generic Item","FQty","2BOM","SAP Material ID","SAP Template","Blue","Bblock","BBtype","Smartpart"
"5","HE57S40Z50201","CONE EQ F JDB TRAVERSANT BARRE COUDEE","1","","","","","20","","","","","","","","","HE57S40Z50201"
"5","HE364229003","CONTACT RESSORT D107","2","","","","","120","","","","","","","","","HE364229003"
"5","HE57S90Z50101","INTERFACE INDICAT DE CONE FERME OUTDOOR","1","","","","","90","","","","","","","","","HE57S90Z50101"
"5","HE57P21Z50201","BAGUE DE GUIDAGE","1","","","","","130","","","","","","","","","HE57P21Z50201"
"5","HE57S90Z80301","INTERFACE FIXATION CONE","1","","","","","60","","","","","","","","","HE57S90Z80301"
"5","HE57P21Z50201","BAGUE DE GUIDAGE","1","","","","","130","","","","","","","","","HE57P21Z50201"
"5","HE57S90Z80701","INTERFACE OBTURATION M8 BRIDE","2","","","","","130","","","","","","","","","HE57S90Z80701"
"5","RANT417005009","WASHER D8 ISO7089 U6592 A304 #","4","","","","","140","","","","","","","","","RANT417005009"
"5","HE057-15517-61064","","1","","","","","","","","","","","","","","HE057-15517-61064_0001_10_GIS_004_BHT_CR_CUVE CROIX RAL9016 EP19 CEN_HE57P40Z40501-T_BLUE_0_CROSS16"
"5","RANT417005009","WASHER D8 ISO7089 U6592 A304 #","1","","","","","140","","","","","","","","","RANT417005009"
"6","HE57P40Z40561","CUVE CROIX COUDEE USINEE","1","","","","","","","","","","","","","","HE57P40Z40561"
"5","RANT412134310","HEX. SOCKET BOLT M8*40 A2-70","4","","","","","150","","","","","","","","","RANT412134310"
"5","HE00P90Z80101","VIS CHC M5x12_ A2-70 PRE-ENCOLLE","2","","","","","180","","","","","","","","","HE00P90Z80101"
"5","RANT412134310","HEX. SOCKET BOLT M8*40 A2-70","1","","","","","150","","","","","","","","","RANT412134310"
"5","HE57P90Z80201","PLAQUE D'EXPEDITION","1","","","","","160","","","","","","","","","HE57P90Z80201"
"5","HE57P11Z61301","RESSORT DE COMPRESSION","1","","","","","160","","","","","","","","","HE57P11Z61301"
"5","HE57S27Z40001","INTERFACE EXPEDITION SANS VALVE","1","","","","","150","","","","","","","","","HE57S27Z40001"
"5","HE57P11Z61001","CONTACT ARC FEMELLE","1","","","","","170","","","","","","","","","HE57P11Z61001"
"5","HE57S27Z40002","INTERFACE EXPEDITION AVEC VALVE","2","","","","","140","","","","","","","","","HE57S27Z40002"
"5","HE57P11Z60901","EMBOUT CONTACT D'ARC FEMELLE","1","","","","","180","","","","","","","","","HE57P11Z60901"
"5","RANT417005007","WASHER D5 ISO7089 U6592 A304","2","","","","","170","","","","","","","","","RANT417005007"
"5","HE57P11Z61101","ANNEAU DS","1","","","","","190","","","","","","","","","HE57P11Z61101"
"4","","","1","","","","","","","","","","","","","","100201396"
"5","HE57P11Z61201","BOUCHON DS","1","","","","","200","","","","","","","","","HE57P11Z61201"
"5","","","1","","","","","","","","","","","","","","HE057-1053122861_0001_5000_GIS_003_BHT_DD_DENSISTAT_HE00S23Z100-T_NO_0_DD2"
"5","HE06P12Z65001","TULIPE DE MALT RAPIDE COTE FIXE 63kA","1","","","","","270","","","","","","","","","HE06P12Z65001"
"6","HE00S23Z09403","DD TRAFAG X6 RADIAL 7,8b g3","1","","","","","","","","","","","","","","HE00S23Z09403"
"5","HE06P12Z80101","RONDELLE ELASTIQUE","1","","","","","280","","","","","","","","","HE06P12Z80101"
"6","HE00S23Z100-D-01","PLAN SURVEILLANCE SF6 ET G3","1","","","","","DRAW","","","","","","","","","HE00S23Z100-D-01"
"5","RANT412034356","HEX SOCKET SCREW M10*20 A2-70","1","","","","","290","","","","","","","","","RANT412034356"
"6","HE00S23Z100-P","PHANTOM SURVEILLANCE SF6 ET G3","1","","","","","","","","","","","","","","HE00S23Z100-P"
"4","HE057-03222-80348","","1","","","","","","","","","","","","","","HE057-03222-80348_0001_0_GIS_110_BHT_CP_PLAQUE SIGN. DS 5000A DB401_HE_PLA_SIGN_FAB_BLUE_0_0_0_DES3"
"6","HE433912030","Transmeter Keller M12 V4 16 bar","1","","","","","","","","","","","","","","HE433912030"
"5","HE00P79Z00301","Brut Plaque 74x52 OLD = Alu Bleu BHT NEW = Std Inox Brossé","1","","","","","","","","","","","","","","HE00P79Z00301"
"6","HE462043001","BOUCHON 1/2 PR DENSISTAT","1","","","","","130","","","","","","","","","HE462043001"
"4","HE057-38784-82530","","1","","","","","","","","","","","","","","HE057-38784-82530_0001_0_GIS_122_BHT_CP_PLAQUE SIGN. FES DB401_HE_PLA_SIGN_FAB_BLUE_0_0_0_DES3"
"6","JE4733995001","Gas Connection g3 DILO DN20","1","","","","","110","","","","","","","","","JE4733995001"
"2","","","1","","","","","","","","","","","","","","100201398"
"5","HE00P79Z00301","Brut Plaque 74x52 OLD = Alu Bleu BHT NEW = Std Inox Brossé","1","","","","","","","","","","","","","","HE00P79Z00301"
"3","","","1","","","","","","","","","","","","","","100201400"
"4","HE057-27941576","","1","","","","","","","","","","","","","","HE057-27941576_0001_230_GIS_055_BHT_CP_INDICATEUR OPTIQUE_HE53S12Z003-T_NO_B_DES3"
"4","HE057-CR-4","CROIX ASSEMBLEE","1","","","","","","","","","","","","","","HE057-CR-4_0001__GIS_RED_001_BHT_CR_CROIX ASSEMBLEE_HE057-CR-1_NO_BT_CROSS2"
"5","HE53S12Z003-D-05","PLAN INDICATEUR OPTIQUE","1","","","","","DRAW","","","","","","","","","HE53S12Z003-D-05"
"5","HE00S00Z00206","DR 13b g3","1","","","","","","","","","","","","","","HE00S00Z00206"
"5","HE53S12Z003-P1","FANTOME INDICATEUR OPTIQUE","1","","","","","0","","","","","","","","","HE53S12Z003-P1"
"5","HE57S40Z004-D-01","PLAN CROIX COUDEE EQUIPEE","1","","","","","DRAW","","","","","","","","","HE57S40Z004-D-01"
"5","HE53A18000118","IOP O BLANC/VERT SY.T NOIR/JAUNE","1","","","","","110","","","","","","","","","HE53A18000118"
"5","HE57S40Z50201","CONE EQ F JDB TRAVERSANT BARRE COUDEE","1","","","","","20","","","","","","","","","HE57S40Z50201"
"4","HE057-TC-003-P","","1","","","","","","","","","","","","","","HE057_TC-003_P_0001__GIS_RED_003_BHT_BAY_Transport Component 3_HE057-TC-003-P"
